Country of Asylum ISO,Country of Origin ISO,Year,Refugees,Asylum Seekers,Country of Origin,Country of Asylum,Origin Latitude,Origin Longitude,Asylum Latitude,Asylum Longitude
CD,SD,2017,151,0,Sudan,Congo (Brazzaville),12.862807,30.217636,-4.038333,21.758664
CD,SD,2016,150,0,Sudan,Congo (Brazzaville),12.862807,30.217636,-4.038333,21.758664
CD,SD,2020,32,8,Sudan,Congo (Brazzaville),12.862807,30.217636,-4.038333,21.758664
CD,SD,2021,34,7,Sudan,Congo (Brazzaville),12.862807,30.217636,-4.038333,21.758664
CF,SD,2018,518,13,Sudan,Central African Republic,12.862807,30.217636,6.611111,20.939444
CF,SD,2020,387,12,Sudan,Central African Republic,12.862807,30.217636,6.611111,20.939444
CF,SD,2016,2114,0,Sudan,Central African Republic,12.862807,30.217636,6.611111,20.939444
CF,SD,2021,387,12,Sudan,Central African Republic,12.862807,30.217636,6.611111,20.939444
CF,SD,2017,502,12,Sudan,Central African Republic,12.862807,30.217636,6.611111,20.939444
CF,SD,2019,405,12,Sudan,Central African Republic,12.862807,30.217636,6.611111,20.939444
CG,SD,2020,31,38,Sudan,Congo (Kinshasa),12.862807,30.217636,-0.228021,15.827659
CG,SD,2018,30,58,Sudan,Congo (Kinshasa),12.862807,30.217636,-0.228021,15.827659
CG,SD,2017,26,35,Sudan,Congo (Kinshasa),12.862807,30.217636,-0.228021,15.827659
CG,SD,2019,25,39,Sudan,Congo (Kinshasa),12.862807,30.217636,-0.228021,15.827659
CG,SD,2021,31,41,Sudan,Congo (Kinshasa),12.862807,30.217636,-0.228021,15.827659
CG,SD,2016,23,29,Sudan,Congo (Kinshasa),12.862807,30.217636,-0.228021,15.827659
CH,SD,2021,427,10,Sudan,Switzerland,12.862807,30.217636,46.818188,8.227512
CH,SD,2019,326,37,Sudan,Switzerland,12.862807,30.217636,46.818188,8.227512
CH,SD,2018,297,63,Sudan,Switzerland,12.862807,30.217636,46.818188,8.227512
CH,SD,2016,247,191,Sudan,Switzerland,12.862807,30.217636,46.818188,8.227512
CH,SD,2017,277,123,Sudan,Switzerland,12.862807,30.217636,46.818188,8.227512
CH,SD,2020,324,27,Sudan,Switzerland,12.862807,30.217636,46.818188,8.227512
CI,SD,2019,10,0,Sudan,Côte d'Ivoire,12.862807,30.217636,7.539989,-5.54708
