Country of Asylum ISO,Country of Origin ISO,Year,Refugees,Asylum Seekers,Country of Origin,Country of Asylum,Origin Latitude,Origin Longitude,Asylum Latitude,Asylum Longitude
LK,SD,2018,0,5,Sudan,Sri Lanka,12.862807,30.217636,7.873054,80.771797
LK,SD,2020,5,0,Sudan,Sri Lanka,12.862807,30.217636,7.873054,80.771797
LK,SD,2019,0,5,Sudan,Sri Lanka,12.862807,30.217636,7.873054,80.771797
LR,SD,2016,5,0,Sudan,Liberia,12.862807,30.217636,6.428055,-9.429499
LR,SD,2017,5,0,Sudan,Liberia,12.862807,30.217636,6.428055,-9.429499
LR,SD,2021,9,0,Sudan,Liberia,12.862807,30.217636,6.428055,-9.429499
LR,SD,2020,8,0,Sudan,Liberia,12.862807,30.217636,6.428055,-9.429499
LR,SD,2018,8,0,Sudan,Liberia,12.862807,30.217636,6.428055,-9.429499
LR,SD,2019,8,0,Sudan,Liberia,12.862807,30.217636,6.428055,-9.429499
LU,SD,2021,46,50,Sudan,Luxembourg,12.862807,30.217636,49.815273,6.129583
LU,SD,2020,46,28,Sudan,Luxembourg,12.862807,30.217636,49.815273,6.129583
LU,SD,2016,0,10,Sudan,Luxembourg,12.862807,30.217636,49.815273,6.129583
LU,SD,2019,7,65,Sudan,Luxembourg,12.862807,30.217636,49.815273,6.129583
LU,SD,2018,0,60,Sudan,Luxembourg,12.862807,30.217636,49.815273,6.129583
LU,SD,2017,0,25,Sudan,Luxembourg,12.862807,30.217636,49.815273,6.129583
LY,SD,2017,629,3660,Sudan,Libyan Arab Jamahiriya,12.862807,30.217636,26.3351,17.228331
LY,SD,2016,626,1799,Sudan,Libyan Arab Jamahiriya,12.862807,30.217636,26.3351,17.228331
LY,SD,2019,797,12331,Sudan,Libyan Arab Jamahiriya,12.862807,30.217636,26.3351,17.228331
LY,SD,2018,956,9834,Sudan,Libyan Arab Jamahiriya,12.862807,30.217636,26.3351,17.228331
LY,SD,2020,1002,14297,Sudan,Libyan Arab Jamahiriya,12.862807,30.217636,26.3351,17.228331
LY,SD,2021,1177,14960,Sudan,Libyan Arab Jamahiriya,12.862807,30.217636,26.3351,17.228331
MA,SD,2021,22,126,Sudan,Morocco,12.862807,30.217636,31.791702,-7.09262
MA,SD,2019,18,26,Sudan,Morocco,12.862807,30.217636,31.791702,-7.09262
MA,SD,2017,5,10,Sudan,Morocco,12.862807,30.217636,31.791702,-7.09262
MA,SD,2020,20,54,Sudan,Morocco,12.862807,30.217636,31.791702,-7.09262
MA,SD,2018,10,7,Sudan,Morocco,12.862807,30.217636,31.791702,-7.09262
MA,SD,2016,5,14,Sudan,Morocco,12.862807,30.217636,31.791702,-7.09262
MD,SD,2019,9,0,Sudan,Moldova, Republic of,12.862807,30.217636,47.411631,28.369885
MD,SD,2020,8,0,Sudan,Moldova, Republic of,12.862807,30.217636,47.411631,28.369885
MD,SD,2016,8,0,Sudan,Moldova, Republic of,12.862807,30.217636,47.411631,28.369885
MD,SD,2018,9,0,Sudan,Moldova, Republic of,12.862807,30.217636,47.411631,28.369885
MD,SD,2017,9,0,Sudan,Moldova, Republic of,12.862807,30.217636,47.411631,28.369885
MD,SD,2021,9,0,Sudan,Moldova, Republic of,12.862807,30.217636,47.411631,28.369885
MR,SD,2017,12,26,Sudan,Mauritania,12.862807,30.217636,21.00789,-10.940835
MR,SD,2019,10,20,Sudan,Mauritania,12.862807,30.217636,21.00789,-10.940835
MR,SD,2016,12,7,Sudan,Mauritania,12.862807,30.217636,21.00789,-10.940835
MR,SD,2020,11,12,Sudan,Mauritania,12.862807,30.217636,21.00789,-10.940835
MR,SD,2021,13,19,Sudan,Mauritania,12.862807,30.217636,21.00789,-10.940835
MR,SD,2018,11,17,Sudan,Mauritania,12.862807,30.217636,21.00789,-10.940835
MT,SD,2021,223,780,Sudan,Malta,12.862807,30.217636,35.937496,14.375416
MT,SD,2018,194,186,Sudan,Malta,12.862807,30.217636,35.937496,14.375416
MT,SD,2019,199,967,Sudan,Malta,12.862807,30.217636,35.937496,14.375416
MT,SD,2020,218,1119,Sudan,Malta,12.862807,30.217636,35.937496,14.375416
MT,SD,2016,181,21,Sudan,Malta,12.862807,30.217636,35.937496,14.375416
MT,SD,2017,187,22,Sudan,Malta,12.862807,30.217636,35.937496,14.375416
MX,SD,2020,0,10,Sudan,Mexico,12.862807,30.217636,23.634501,-102.552784
MX,SD,2019,0,5,Sudan,Mexico,12.862807,30.217636,23.634501,-102.552784
MX,SD,2021,0,13,Sudan,Mexico,12.862807,30.217636,23.634501,-102.552784
MY,SD,2019,158,156,Sudan,Malaysia,12.862807,30.217636,4.210484,101.975766
MY,SD,2016,56,112,Sudan,Malaysia,12.862807,30.217636,4.210484,101.975766
MY,SD,2018,102,171,Sudan,Malaysia,12.862807,30.217636,4.210484,101.975766
MY,SD,2020,163,140,Sudan,Malaysia,12.862807,30.217636,4.210484,101.975766
MY,SD,2021,178,149,Sudan,Malaysia,12.862807,30.217636,4.210484,101.975766
MY,SD,2017,68,163,Sudan,Malaysia,12.862807,30.217636,4.210484,101.975766
MZ,SD,2020,5,30,Sudan,Mozambique,12.862807,30.217636,-18.665695,35.529562
MZ,SD,2017,5,17,Sudan,Mozambique,12.862807,30.217636,-18.665695,35.529562
MZ,SD,2018,5,16,Sudan,Mozambique,12.862807,30.217636,-18.665695,35.529562
MZ,SD,2016,0,9,Sudan,Mozambique,12.862807,30.217636,-18.665695,35.529562
MZ,SD,2019,5,30,Sudan,Mozambique,12.862807,30.217636,-18.665695,35.529562
MZ,SD,2021,5,30,Sudan,Mozambique,12.862807,30.217636,-18.665695,35.529562
NE,SD,2019,409,1364,Sudan,Niger,12.862807,30.217636,17.607789,8.081666
NE,SD,2018,19,1687,Sudan,Niger,12.862807,30.217636,17.607789,8.081666
NE,SD,2020,1042,836,Sudan,Niger,12.862807,30.217636,17.607789,8.081666
NE,SD,2017,9,0,Sudan,Niger,12.862807,30.217636,17.607789,8.081666
NE,SD,2016,9,0,Sudan,Niger,12.862807,30.217636,17.607789,8.081666
NE,SD,2021,832,675,Sudan,Niger,12.862807,30.217636,17.607789,8.081666
NG,SD,2016,47,0,Sudan,Nigeria,12.862807,30.217636,9.081999,8.675277
NG,SD,2019,47,5,Sudan,Nigeria,12.862807,30.217636,9.081999,8.675277
NG,SD,2020,47,7,Sudan,Nigeria,12.862807,30.217636,9.081999,8.675277
NG,SD,2018,49,5,Sudan,Nigeria,12.862807,30.217636,9.081999,8.675277
NG,SD,2021,47,7,Sudan,Nigeria,12.862807,30.217636,9.081999,8.675277
NG,SD,2017,48,5,Sudan,Nigeria,12.862807,30.217636,9.081999,8.675277
NL,SD,2021,727,43,Sudan,Netherlands,12.862807,30.217636,52.132633,5.291266
NL,SD,2018,819,145,Sudan,Netherlands,12.862807,30.217636,52.132633,5.291266
NL,SD,2017,790,116,Sudan,Netherlands,12.862807,30.217636,52.132633,5.291266
NL,SD,2019,792,131,Sudan,Netherlands,12.862807,30.217636,52.132633,5.291266
NL,SD,2020,757,115,Sudan,Netherlands,12.862807,30.217636,52.132633,5.291266
NL,SD,2016,759,143,Sudan,Netherlands,12.862807,30.217636,52.132633,5.291266
NO,SD,2021,1775,9,Sudan,Norway,12.862807,30.217636,60.472024,8.468946
NO,SD,2020,1848,9,Sudan,Norway,12.862807,30.217636,60.472024,8.468946
NO,SD,2016,1965,37,Sudan,Norway,12.862807,30.217636,60.472024,8.468946
NO,SD,2019,1906,15,Sudan,Norway,12.862807,30.217636,60.472024,8.468946
NO,SD,2018,1938,32,Sudan,Norway,12.862807,30.217636,60.472024,8.468946
NO,SD,2017,1961,16,Sudan,Norway,12.862807,30.217636,60.472024,8.468946
NR,SD,2021,5,0,Sudan,Nauru,12.862807,30.217636,-0.522778,166.931503
NR,SD,2020,8,0,Sudan,Nauru,12.862807,30.217636,-0.522778,166.931503
NR,SD,2018,13,0,Sudan,Nauru,12.862807,30.217636,-0.522778,166.931503
NR,SD,2016,13,0,Sudan,Nauru,12.862807,30.217636,-0.522778,166.931503
NR,SD,2019,11,0,Sudan,Nauru,12.862807,30.217636,-0.522778,166.931503
NR,SD,2017,13,0,Sudan,Nauru,12.862807,30.217636,-0.522778,166.931503
NZ,SD,2020,6,5,Sudan,New Zealand,12.862807,30.217636,-40.900557,174.885971
NZ,SD,2018,5,5,Sudan,New Zealand,12.862807,30.217636,-40.900557,174.885971
NZ,SD,2021,6,5,Sudan,New Zealand,12.862807,30.217636,-40.900557,174.885971
NZ,SD,2016,9,0,Sudan,New Zealand,12.862807,30.217636,-40.900557,174.885971
NZ,SD,2019,8,0,Sudan,New Zealand,12.862807,30.217636,-40.900557,174.885971
NZ,SD,2017,7,0,Sudan,New Zealand,12.862807,30.217636,-40.900557,174.885971
OM,SD,2017,0,5,Sudan,Oman,12.862807,30.217636,21.512583,55.923255
OM,SD,2016,0,5,Sudan,Oman,12.862807,30.217636,21.512583,55.923255
PA,SD,2019,5,0,Sudan,Panama,12.862807,30.217636,8.537981,-80.782127
PA,SD,2021,5,0,Sudan,Panama,12.862807,30.217636,8.537981,-80.782127
PA,SD,2017,5,0,Sudan,Panama,12.862807,30.217636,8.537981,-80.782127
PA,SD,2018,5,0,Sudan,Panama,12.862807,30.217636,8.537981,-80.782127
PA,SD,2020,5,0,Sudan,Panama,12.862807,30.217636,8.537981,-80.782127
PA,SD,2016,5,0,Sudan,Panama,12.862807,30.217636,8.537981,-80.782127
PG,SD,2020,42,0,Sudan,Papua New Guinea,12.862807,30.217636,-6.314993,143.95555
PG,SD,2017,75,0,Sudan,Papua New Guinea,12.862807,30.217636,-6.314993,143.95555
PG,SD,2016,18,0,Sudan,Papua New Guinea,12.862807,30.217636,-6.314993,143.95555
PG,SD,2018,75,0,Sudan,Papua New Guinea,12.862807,30.217636,-6.314993,143.95555
PG,SD,2021,35,0,Sudan,Papua New Guinea,12.862807,30.217636,-6.314993,143.95555
PG,SD,2019,55,0,Sudan,Papua New Guinea,12.862807,30.217636,-6.314993,143.95555
PH,SD,2019,6,25,Sudan,Philippines,12.862807,30.217636,12.879721,121.774017
PH,SD,2021,7,42,Sudan,Philippines,12.862807,30.217636,12.879721,121.774017
PH,SD,2016,5,5,Sudan,Philippines,12.862807,30.217636,12.879721,121.774017
PH,SD,2017,5,5,Sudan,Philippines,12.862807,30.217636,12.879721,121.774017
PH,SD,2020,6,32,Sudan,Philippines,12.862807,30.217636,12.879721,121.774017
PH,SD,2018,6,10,Sudan,Philippines,12.862807,30.217636,12.879721,121.774017
PL,SD,2017,5,0,Sudan,Poland,12.862807,30.217636,51.919438,19.145136
PL,SD,2018,5,0,Sudan,Poland,12.862807,30.217636,51.919438,19.145136
PL,SD,2019,5,0,Sudan,Poland,12.862807,30.217636,51.919438,19.145136
PL,SD,2016,5,0,Sudan,Poland,12.862807,30.217636,51.919438,19.145136
PT,SD,2021,79,0,Sudan,Portugal,12.862807,30.217636,39.399872,-8.224454
PT,SD,2020,52,15,Sudan,Portugal,12.862807,30.217636,39.399872,-8.224454
PT,SD,2017,5,0,Sudan,Portugal,12.862807,30.217636,39.399872,-8.224454
PT,SD,2019,49,12,Sudan,Portugal,12.862807,30.217636,39.399872,-8.224454
PT,SD,2018,23,0,Sudan,Portugal,12.862807,30.217636,39.399872,-8.224454
PT,SD,2016,5,0,Sudan,Portugal,12.862807,30.217636,39.399872,-8.224454
QA,SD,2017,0,15,Sudan,Qatar,12.862807,30.217636,25.354826,51.183884
QA,SD,2019,0,13,Sudan,Qatar,12.862807,30.217636,25.354826,51.183884
QA,SD,2016,0,15,Sudan,Qatar,12.862807,30.217636,25.354826,51.183884
QA,SD,2018,0,13,Sudan,Qatar,12.862807,30.217636,25.354826,51.183884
QA,SD,2021,0,13,Sudan,Qatar,12.862807,30.217636,25.354826,51.183884
QA,SD,2020,0,13,Sudan,Qatar,12.862807,30.217636,25.354826,51.183884
RO,SD,2017,15,0,Sudan,Romania,12.862807,30.217636,45.943161,24.96676
RO,SD,2020,16,6,Sudan,Romania,12.862807,30.217636,45.943161,24.96676
RO,SD,2021,21,5,Sudan,Romania,12.862807,30.217636,45.943161,24.96676
RO,SD,2016,13,0,Sudan,Romania,12.862807,30.217636,45.943161,24.96676
RO,SD,2018,16,0,Sudan,Romania,12.862807,30.217636,45.943161,24.96676
RO,SD,2019,16,0,Sudan,Romania,12.862807,30.217636,45.943161,24.96676
RS,SD,2019,5,0,Sudan,Serbia,12.862807,30.217636,44.016521,21.005859
RS,SD,2020,5,0,Sudan,Serbia,12.862807,30.217636,44.016521,21.005859
RS,SD,2017,5,0,Sudan,Serbia,12.862807,30.217636,44.016521,21.005859
RS,SD,2018,5,0,Sudan,Serbia,12.862807,30.217636,44.016521,21.005859
RS,SD,2016,5,0,Sudan,Serbia,12.862807,30.217636,44.016521,21.005859
RS,SD,2021,5,0,Sudan,Serbia,12.862807,30.217636,44.016521,21.005859
RU,SD,2018,7,5,Sudan,Russia,12.862807,30.217636,61.52401,105.318756
RU,SD,2016,5,5,Sudan,Russia,12.862807,30.217636,61.52401,105.318756
RU,SD,2021,5,0,Sudan,Russia,12.862807,30.217636,61.52401,105.318756
RU,SD,2017,6,5,Sudan,Russia,12.862807,30.217636,61.52401,105.318756
RU,SD,2019,6,0,Sudan,Russia,12.862807,30.217636,61.52401,105.318756
RU,SD,2020,5,0,Sudan,Russia,12.862807,30.217636,61.52401,105.318756
RW,SD,2021,88,0,Sudan,Rwanda,12.862807,30.217636,-1.940278,29.873888
RW,SD,2019,13,5,Sudan,Rwanda,12.862807,30.217636,-1.940278,29.873888
RW,SD,2020,11,89,Sudan,Rwanda,12.862807,30.217636,-1.940278,29.873888
SA,SD,2017,5,5,Sudan,Saudi Arabia,12.862807,30.217636,23.885942,45.079162
SA,SD,2019,0,5,Sudan,Saudi Arabia,12.862807,30.217636,23.885942,45.079162
SA,SD,2018,0,5,Sudan,Saudi Arabia,12.862807,30.217636,23.885942,45.079162
SA,SD,2021,0,74,Sudan,Saudi Arabia,12.862807,30.217636,23.885942,45.079162
SA,SD,2020,0,74,Sudan,Saudi Arabia,12.862807,30.217636,23.885942,45.079162
SD,SD,2017,0,0,Sudan,Sudan,12.862807,30.217636,12.862807,30.217636
SD,SD,2021,0,0,Sudan,Sudan,12.862807,30.217636,12.862807,30.217636
SD,SD,2019,0,0,Sudan,Sudan,12.862807,30.217636,12.862807,30.217636
SD,SD,2020,0,0,Sudan,Sudan,12.862807,30.217636,12.862807,30.217636
SD,SD,2018,0,0,Sudan,Sudan,12.862807,30.217636,12.862807,30.217636
SD,SD,2016,0,0,Sudan,Sudan,12.862807,30.217636,12.862807,30.217636
SE,SD,2020,1132,142,Sudan,Sweden,12.862807,30.217636,60.128161,18.643501
SE,SD,2021,1112,105,Sudan,Sweden,12.862807,30.217636,60.128161,18.643501
SE,SD,2017,841,241,Sudan,Sweden,12.862807,30.217636,60.128161,18.643501
SE,SD,2016,702,423,Sudan,Sweden,12.862807,30.217636,60.128161,18.643501
SE,SD,2019,1128,187,Sudan,Sweden,12.862807,30.217636,60.128161,18.643501
SE,SD,2018,1075,205,Sudan,Sweden,12.862807,30.217636,60.128161,18.643501
SI,SD,2016,6,0,Sudan,Slovenia,12.862807,30.217636,46.151241,14.995463
SI,SD,2018,6,0,Sudan,Slovenia,12.862807,30.217636,46.151241,14.995463
SI,SD,2019,5,0,Sudan,Slovenia,12.862807,30.217636,46.151241,14.995463
SI,SD,2017,6,0,Sudan,Slovenia,12.862807,30.217636,46.151241,14.995463
SI,SD,2020,6,0,Sudan,Slovenia,12.862807,30.217636,46.151241,14.995463
SI,SD,2021,6,0,Sudan,Slovenia,12.862807,30.217636,46.151241,14.995463
SK,SD,2017,0,0,Sudan,Slovakia,12.862807,30.217636,48.669026,19.699024
SK,SD,2016,5,0,Sudan,Slovakia,12.862807,30.217636,48.669026,19.699024
SL,SD,2016,8,0,Sudan,Sierra Leone,12.862807,30.217636,8.460555,-11.779889
SL,SD,2017,8,0,Sudan,Sierra Leone,12.862807,30.217636,8.460555,-11.779889
SL,SD,2018,9,0,Sudan,Sierra Leone,12.862807,30.217636,8.460555,-11.779889
SN,SD,2020,5,8,Sudan,Senegal,12.862807,30.217636,14.497401,-14.452362
SN,SD,2021,5,8,Sudan,Senegal,12.862807,30.217636,14.497401,-14.452362
SN,SD,2019,5,8,Sudan,Senegal,12.862807,30.217636,14.497401,-14.452362
SN,SD,2018,0,7,Sudan,Senegal,12.862807,30.217636,14.497401,-14.452362
SO,SD,2017,5,12,Sudan,Somalia,12.862807,30.217636,5.152149,46.199616
SO,SD,2020,0,7,Sudan,Somalia,12.862807,30.217636,5.152149,46.199616
SO,SD,2018,5,12,Sudan,Somalia,12.862807,30.217636,5.152149,46.199616
SO,SD,2021,0,8,Sudan,Somalia,12.862807,30.217636,5.152149,46.199616
SO,SD,2019,5,15,Sudan,Somalia,12.862807,30.217636,5.152149,46.199616
SO,SD,2016,5,12,Sudan,Somalia,12.862807,30.217636,5.152149,46.199616
SY,SD,2020,719,94,Sudan,Syrian Arab Republic,12.862807,30.217636,34.802075,38.996815
SY,SD,2017,762,89,Sudan,Syrian Arab Republic,12.862807,30.217636,34.802075,38.996815
SY,SD,2019,718,92,Sudan,Syrian Arab Republic,12.862807,30.217636,34.802075,38.996815
SY,SD,2016,742,183,Sudan,Syrian Arab Republic,12.862807,30.217636,34.802075,38.996815
SY,SD,2021,720,96,Sudan,Syrian Arab Republic,12.862807,30.217636,34.802075,38.996815
SY,SD,2018,769,61,Sudan,Syrian Arab Republic,12.862807,30.217636,34.802075,38.996815
TD,SD,2019,335246,1805,Sudan,Chad,12.862807,30.217636,15.454166,18.732207
TD,SD,2021,372723,1750,Sudan,Chad,12.862807,30.217636,15.454166,18.732207
TD,SD,2017,324327,62,Sudan,Chad,12.862807,30.217636,15.454166,18.732207
TD,SD,2018,336674,1855,Sudan,Chad,12.862807,30.217636,15.454166,18.732207
TD,SD,2016,312468,16,Sudan,Chad,12.862807,30.217636,15.454166,18.732207
TD,SD,2020,364535,1769,Sudan,Chad,12.862807,30.217636,15.454166,18.732207
TG,SD,2019,0,5,Sudan,Togo,12.862807,30.217636,8.619543,0.824782
TG,SD,2018,0,5,Sudan,Togo,12.862807,30.217636,8.619543,0.824782
TG,SD,2017,0,5,Sudan,Togo,12.862807,30.217636,8.619543,0.824782
TG,SD,2016,0,5,Sudan,Togo,12.862807,30.217636,8.619543,0.824782
TH,SD,2018,12,5,Sudan,Thailand,12.862807,30.217636,15.870032,100.992541
TH,SD,2021,5,0,Sudan,Thailand,12.862807,30.217636,15.870032,100.992541
TH,SD,2017,14,0,Sudan,Thailand,12.862807,30.217636,15.870032,100.992541
TH,SD,2019,5,0,Sudan,Thailand,12.862807,30.217636,15.870032,100.992541
TH,SD,2016,14,0,Sudan,Thailand,12.862807,30.217636,15.870032,100.992541
TN,SD,2021,143,191,Sudan,Tunisia,12.862807,30.217636,33.886917,9.537499
TN,SD,2016,32,0,Sudan,Tunisia,12.862807,30.217636,33.886917,9.537499
TN,SD,2020,144,138,Sudan,Tunisia,12.862807,30.217636,33.886917,9.537499
TN,SD,2017,26,0,Sudan,Tunisia,12.862807,30.217636,33.886917,9.537499
TN,SD,2019,51,254,Sudan,Tunisia,12.862807,30.217636,33.886917,9.537499
TN,SD,2018,26,6,Sudan,Tunisia,12.862807,30.217636,33.886917,9.537499
TR,SD,2018,266,148,Sudan,Turkey,12.862807,30.217636,38.963745,35.243322
TR,SD,2016,269,98,Sudan,Turkey,12.862807,30.217636,38.963745,35.243322
TR,SD,2017,274,114,Sudan,Turkey,12.862807,30.217636,38.963745,35.243322
TZ,SD,2021,0,8,Sudan,Tanzania,12.862807,30.217636,-6.369028,34.888822
TZ,SD,2020,0,8,Sudan,Tanzania,12.862807,30.217636,-6.369028,34.888822
UA,SD,2017,60,106,Sudan,Ukraine,12.862807,30.217636,48.379433,31.16558
UA,SD,2021,27,32,Sudan,Ukraine,12.862807,30.217636,48.379433,31.16558
UA,SD,2018,29,115,Sudan,Ukraine,12.862807,30.217636,48.379433,31.16558
UA,SD,2019,28,28,Sudan,Ukraine,12.862807,30.217636,48.379433,31.16558
UA,SD,2016,61,108,Sudan,Ukraine,12.862807,30.217636,48.379433,31.16558
UA,SD,2020,27,25,Sudan,Ukraine,12.862807,30.217636,48.379433,31.16558
UG,SD,2016,2545,629,Sudan,Uganda,12.862807,30.217636,1.373333,32.290275
UG,SD,2021,2891,538,Sudan,Uganda,12.862807,30.217636,1.373333,32.290275
UG,SD,2019,2627,411,Sudan,Uganda,12.862807,30.217636,1.373333,32.290275
UG,SD,2018,2802,347,Sudan,Uganda,12.862807,30.217636,1.373333,32.290275
UG,SD,2017,2355,745,Sudan,Uganda,12.862807,30.217636,1.373333,32.290275
UG,SD,2020,2790,501,Sudan,Uganda,12.862807,30.217636,1.373333,32.290275
US,SD,2021,1380,1263,Sudan,United States,12.862807,30.217636,37.09024,-95.712891
US,SD,2017,1382,903,Sudan,United States,12.862807,30.217636,37.09024,-95.712891
US,SD,2016,1383,739,Sudan,United States,12.862807,30.217636,37.09024,-95.712891
US,SD,2020,1412,876,Sudan,United States,12.862807,30.217636,37.09024,-95.712891
US,SD,2018,1411,883,Sudan,United States,12.862807,30.217636,37.09024,-95.712891
US,SD,2019,1441,839,Sudan,United States,12.862807,30.217636,37.09024,-95.712891
YE,SD,2021,111,521,Sudan,Yemen,12.862807,30.217636,15.552727,48.516388
YE,SD,2020,119,522,Sudan,Yemen,12.862807,30.217636,15.552727,48.516388
YE,SD,2019,119,529,Sudan,Yemen,12.862807,30.217636,15.552727,48.516388
YE,SD,2016,105,384,Sudan,Yemen,12.862807,30.217636,15.552727,48.516388
YE,SD,2018,119,433,Sudan,Yemen,12.862807,30.217636,15.552727,48.516388
YE,SD,2017,124,375,Sudan,Yemen,12.862807,30.217636,15.552727,48.516388
ZA,SD,2016,115,31,Sudan,South Africa,12.862807,30.217636,-30.559482,22.937506
ZA,SD,2019,95,62,Sudan,South Africa,12.862807,30.217636,-30.559482,22.937506
ZA,SD,2017,112,0,Sudan,South Africa,12.862807,30.217636,-30.559482,22.937506
ZA,SD,2020,93,60,Sudan,South Africa,12.862807,30.217636,-30.559482,22.937506
ZA,SD,2021,93,60,Sudan,South Africa,12.862807,30.217636,-30.559482,22.937506
ZA,SD,2018,112,0,Sudan,South Africa,12.862807,30.217636,-30.559482,22.937506
ZM,SD,2019,28,0,Sudan,Zambia,12.862807,30.217636,-13.133897,27.849332
ZM,SD,2018,26,0,Sudan,Zambia,12.862807,30.217636,-13.133897,27.849332
ZM,SD,2020,28,0,Sudan,Zambia,12.862807,30.217636,-13.133897,27.849332
ZM,SD,2021,29,0,Sudan,Zambia,12.862807,30.217636,-13.133897,27.849332
ZM,SD,2016,37,0,Sudan,Zambia,12.862807,30.217636,-13.133897,27.849332
ZM,SD,2017,24,0,Sudan,Zambia,12.862807,30.217636,-13.133897,27.849332
ZW,SD,2016,5,0,Sudan,Zimbabwe,12.862807,30.217636,-19.015438,29.154857
ZW,SD,2020,7,0,Sudan,Zimbabwe,12.862807,30.217636,-19.015438,29.154857
ZW,SD,2019,5,0,Sudan,Zimbabwe,12.862807,30.217636,-19.015438,29.154857
ZW,SD,2017,5,9,Sudan,Zimbabwe,12.862807,30.217636,-19.015438,29.154857
ZW,SD,2018,0,28,Sudan,Zimbabwe,12.862807,30.217636,-19.015438,29.154857
ZW,SD,2021,8,0,Sudan,Zimbabwe,12.862807,30.217636,-19.015438,29.154857
NA,SD,2018,5,0,Sudan,Namibia,12.862807,30.217636,-22.95764,18.49041
NA,SD,2016,0,5,Sudan,Namibia,12.862807,30.217636,-22.95764,18.49041
NA,SD,2020,7,0,Sudan,Namibia,12.862807,30.217636,-22.95764,18.49041
NA,SD,2021,7,0,Sudan,Namibia,12.862807,30.217636,-22.95764,18.49041
NA,SD,2019,6,0,Sudan,Namibia,12.862807,30.217636,-22.95764,18.49041
NA,SD,2017,0,6,Sudan,Namibia,12.862807,30.217636,-22.95764,18.49041
